keyword,emotion,score
brexit deal,sadness,0.613897
vote,sadness,0.613897
government,sadness,0.613897
bercow,sadness,0.613897
mps,sadness,0.613897
numerous times,sadness,0.787766
speaker of the commons,,0
parliament,sadness,0.787766
sovereignty,sadness,0.787766
europe,sadness,0.787766
brexiteers,sadness,0.787766
mpâ€™s contribution,disgust,0.266276
right time,joy,0.415035
todayâ€™s article,disgust,0.266276
extension,disgust,0.266276
urgent question debate,disgust,0.266276
picking,joy,0.415035
expotentail growth of racism,anger,0.726504
brexit,anger,0.726504
opposition parties,sadness,0.424886
summit,sadness,0.424886
amp,sadness,0.424886
2nd eu referendum,sadness,0.424886
chances,joy,0.541386
deal,joy,0.541386
brexit,joy,0.541386
de,joy,0.541386
prime minister,sadness,0.385828
brexit deal,sadness,0.385828
patriots,sadness,0.385828
mps,sadness,0.385828
effoto,sadness,0.385828
lo,sadness,0.385828
prime minister,sadness,0.239039
gig economy workers,fear,0.275134
stats,fear,0.275134
gig economy workers,fear,0.329746
ge2017 bbcqt bbcdebate,,0
government,disgust,0.814794
mayvcorbyn http,disgust,0.843613
chewie,sadness,0.315717
brexit trade federation,joy,0.489652
cake,joy,0.868556
strategy boris,disgust,0.252959
good dave,joy,0.927457
yum,joy,0.927457
cruel austerity cuts,anger,0.5485
years of failure,sadness,0.659396
force,,0
farce,,0
mayvcorbyn,,0
part-timers,joy,0.326474
pardon,sadness,0.256086
car manufacturer slashes jobs,fear,0.209844
bad news,sadness,0.743254
brexit,sadness,0.518111
eu citizens,joy,0.203991
best outcome,joy,0.724226
deal,joy,0.724226
current membership,,0
wool brexiteer,,0
initiat,,0
brexit enthusiast,joy,0.266424
hoc speaker john bercow,joy,0.266424
fiasco,joy,0.266424
brexit enthusiast,,0
fiasco,,0
john bercow,,0
brexit enthusiast,,0
john bercow,,0
brexit enthusiast,,0
john bercow,,0
fiasco of a 3rd meani,,0
brexit enthusiast,,0
john bercow,,0
fiasco of a 3rd meaningless vote,,0
tweet,joy,0.289376
video,joy,0.289376
response,,0
weeks,sadness,0.605306
brexit,sadness,0.605306
arron banks,fear,0.484844
investigation,fear,0.484844
russian connections,fear,0.484844
opaque funding,fear,0.484844
brexit deal,sadness,0.613897
vote,sadness,0.613897
government,sadness,0.613897
bercow,sadness,0.613897
mps,sadness,0.613897
mps voting,sadness,0.546094
general election,sadness,0.546094
party politics,sadness,0.546094
theresa,sadness,0.546094
withdrawal agreement,sadness,0.546094
conservative anna soubry,disgust,0.767937
speaker john bercow of double standards,disgust,0.767937
male tory mp,disgust,0.767937
female lab,disgust,0.767937
lame excuse of the month,fear,0.472329
storms,fear,0.472329
competition,fear,0.472329
brexit,,0
lead,fear,0.472329
hard ball,sadness,0.437501
michel,sadness,0.437501
usefulness of a uk brexit extension,sadness,0.437501
theresa,sadness,0.437501
eu,sadness,0.437501
rural people,sadness,0.482263
brexits riots,sadness,0.482263
choice,sadness,0.687176
riots,sadness,0.599173
bus trips,sadness,0.482263
wider audience,fear,0.310047
parliament vote,disgust,0.41989
rebeccalongbailey,disgust,0.200098
brexiteer mps,disgust,0.374361
tweets,disgust,0.374361
minds,disgust,0.374361
amp,disgust,0.374361
theresa,disgust,0.374361
deal,disgust,0.374361
last night,joy,0.364771
last year,disgust,0.229233
way,disgust,0.229233
deal,joy,0.364771
table,joy,0.364771
mps,disgust,0.229233
exac,disgust,0.229233
lab mps,disgust,0.218751
con,disgust,0.218751
amp,disgust,0.218751
manifestos,disgust,0.218751
brexit,disgust,0.218751
public,sadness,0.404071
brexit website,anger,0.221494
government,anger,0.221494
https://t.co/mrpmh9lxlj,anger,0.221494
mps head,joy,0.346775
standup4brexit,joy,0.328094
evening,joy,0.346775
voting,joy,0.346775
uk mps vote,fear,0.854699
deal,fear,0.854699
table,fear,0.854699
eu,fear,0.854699
parliament,sadness,0.545571
brexit happening,sadness,0.545571
remainers,sadness,0.545571
disg,,0
hypocritical woman,disgust,0.2775
prime minister,sadness,0.348062
geoffrey cox,disgust,0.461879
changes,sadness,0.348062
last night,sadness,0.348062
honourable man,disgust,0.461879
watch,joy,0.446017
idea,joy,0.446017
article,joy,0.446017
withdra,joy,0.446017
conversion therapy,sadness,0.557838
government,sadness,0.557838
today,fear,0.284663
total crap,anger,0.755306
labour,disgust,0.420289
long history,fear,0.745855
security threats,fear,0.745855
jeremy,fear,0.745855
westmin,fear,0.745855
first sentence,sadness,0.36991
letter,joy,0.653958
dear @theresa_may,,0
tissue of revisionis,sadness,0.36991
pairing breach,sadness,0.550295
place,sadness,0.550295
last week's brexit votes,sadness,0.550295
thatcher ag,,0
commonwealth pivot,,0
brexit,,0
"https://t.co/46p3wszpmv,",,0
clear plan,joy,0.409308
new approach,fear,0.507552
article,joy,0.409308
progress,joy,0.409308
conservatives,joy,0.409308
red l,joy,0.409308
bbc news,sadness,0.38992
government,sadness,0.38992
brexit ferry case,sadness,0.38992
week,sadness,0.555788
panel,sadness,0.555788
issue,joy,0.59188
wto,joy,0.59188
new zealand govt's special trade envoy,sadness,0.555788
trq,joy,0.59188
social disaster,disgust,0.549848
tories,disgust,0.549848
name of austerity,disgust,0.549848
uk,disgust,0.549848
much sense,joy,0.318928
britain,joy,0.318928
reasons,joy,0.642857
challenge of brexit,joy,0.496351
occasion,joy,0.591976
house of commons,joy,0.591976
bercow,joy,0.591976
premier league football grounds,joy,0.443699
britons,joy,0.443699
libraries,joy,0.443699
cinema,joy,0.443699
country,joy,0.443699
tourist,joy,0.443699
third vote,sadness,0.434353
theresa,sadness,0.434353
brexit deal,sadness,0.434353
john bercow https://t.co/rbnv7kezz9,sadness,0.434353
remarks,disgust,0.627342
leader,disgust,0.627342
amp,disgust,0.627342
members,disgust,0.627342
nationalists,disgust,0.627342
dupbrexit,,0
brexit,anger,0.368887
contention,anger,0.368887
union,anger,0.368887
eu,anger,0.368887
uk,anger,0.368887
backstop,anger,0.368887
cross-border bodies,fear,0.351418
brexit,,0
petition of concern,fear,0.351418
cross-commun,fear,0.351418
remarks,disgust,0.637121
leader,disgust,0.637121
amp,disgust,0.637121
members,disgust,0.637121
dupbrexit,,0
prime minister,joy,0.825426
new zealand,joy,0.825426
wonderful leader,joy,0.825426
healing,joy,0.825426
reconci,joy,0.825426
speaker john bercow talks coffee,anger,0.494208
order,,0
hats,anger,0.494208
yesterday's dramatic brexit decision,anger,0.494208
front pages,joy,0.550048
fanciful idea,sadness,0.430613
brexit deal,sadness,0.430613
process,anger,0.610793
end,anger,0.610793
article,anger,0.610793
revocation,anger,0.610793
eu,anger,0.610793
friday,anger,0.610793
brexit extension,sadness,0.525451
last week,sadness,0.525451
vote,sadness,0.525451
cred,sadness,0.525451
cards,anger,0.556097
days,anger,0.556097
shit,anger,0.556097
brexit,anger,0.556097
uk government,sadness,0.489323
political support,sadness,0.489323
careers of civil servants,sadness,0.489323
whole project,sadness,0.333415
pillars,sadness,0.333415
brexit,joy,0.253895
identity,sadness,0.333415
amp,sadness,0.333415
flesh,joy,0.253895
britis,sadness,0.333415
latest film,fear,0.582744
climate emergency,fear,0.582744
councils,fear,0.582744
uk,fear,0.582744
donald trump,joy,0.521742
brexit,joy,0.521742
day,joy,0.521742
vote,joy,0.521742
turnberry,joy,0.521742
brexit,sadness,0.204165
media,,0
anti-british mood,sadness,0.474421
ireland,sadness,0.474421
rugby,sadness,0.474421
brexit,sadness,0.474421
video,joy,0.387764
irish smugglers' brexit bonanza,,0
brexitcast klaxon,joy,0.476055
next hour,joy,0.476055
100th episode of brexitcast,sadness,0.822862
long week,sadness,0.293039
uk government,sadness,0.483154
session,sadness,0.483154
politics,sadness,0.376743
tweets,sadness,0.284447
kip,fear,0.463761
matey,sadness,0.289813
best way,joy,0.544263
today,joy,0.544263
watch,joy,0.544263
deal,joy,0.544263
peoplesvote,joy,0.544263
current eu deal,sadness,0.328578
donkey theresa,joy,0.455911
racehorse,sadness,0.328578
unicorn,sadness,0.328578
brexiters,sadness,0.328578
ivor ferguson,disgust,0.384277
agri-food industry,disgust,0.384277
face,disgust,0.384277
deal brexit a,disgust,0.384277
sane comment,joy,0.301685
british politics,joy,0.27469
best moment,sadness,0.555077
irony,sadness,0.555077
@joneds001,sadness,0.555077
russian government representatives,disgust,0.309771
trump campaign,disgust,0.309771
vote leave,disgust,0.530756
truth,fear,0.286947
law breakers,fear,0.286947
brexit campaign,disgust,0.530756
earth move,joy,0.3659
people,joy,0.3659
tory plot,disgust,0.754289
brexit,disgust,0.754289
tory billi,disgust,0.754289
new eu anti tax avoidance laws,disgust,0.754289
deal brexit,sadness,0.454684
video,sadness,0.454684
uk,sadness,0.454684
eu,sadness,0.454684
epidemiologist bill jenkins,sadness,0.280064
federal project,sadness,0.280064
first government employee,sadness,0.280064
phd,sadness,0.280064
syphilis,sadness,0.280064
washington post,fear,0.410553
brexit,sadness,0.277608
ðŸš¨watch peston,joy,0.305971
exclusive content,joy,0.305971
tonight,sadness,0.652386
ad breaks,joy,0.305971
@tom_watson,sadness,0.652386
@femi_,sadness,0.652386
brexit vote,sadness,0.451437
problems,sadness,0.451437
country,sadness,0.451437
elite educational system,sadness,0.451437
damian green sums,disgust,0.361229
views of the nation,disgust,0.361229
orderly brexit,sadness,0.21457
chaos,anger,0.460455
votes,disgust,0.358924
mar,sadness,0.21457
parliament removes option of purest form of brexit,sadness,0.282256
clarification,,0
bad deal,sadness,0.63282
deal,sadness,0.63282
softer brexit,joy,0.249372
deal,joy,0.249372
looks,joy,0.249372
table,joy,0.249372
article,joy,0.249372
deal,fear,0.435901
chance,,0
suspect,fear,0.387712
tonight,,0
brexit,fear,0.351157
stick,fear,0.387712
brexiteer,fear,0.387712
erg mp,disgust,0.481167
brexit deal,sadness,0.640377
agreement tonight,disgust,0.481167
uk,disgust,0.25217
reminder,disgust,0.448186
clarification,disgust,0.25217
brexit,disgust,0.448186
shit,anger,0.376785
extending of the date,anger,0.376785
deal,anger,0.376785
table,anger,0.376785
leave,anger,0.376785
point,joy,0.307504
result,joy,0.307504
eligible voices,,0
democratic decision,fear,0.313355
referendum,fear,0.313355
good job leave,joy,0.852647
tory government,disgust,0.590324
leader,disgust,0.319891
people,disgust,0.590324
difference,disgust,0.319891
back stabbers,sadness,0.341965
michel,sadness,0.338187
deal scenario,sadness,0.338187
preparations,sadness,0.338187
cliff,joy,0.306337
10days b4 brexit deadline,fear,0.295899
months,joy,0.535652
art50 extension,joy,0.535652
miracle,joy,0.41837
brexitcast klaxon,joy,0.476055
next hour,joy,0.476055
opposition party leaders,fear,0.356754
today,fear,0.356754
westminster,fear,0.356754
brexit crisis,fear,0.356754
votes,joy,0.369735
real sample,joy,0.369735
vote,joy,0.712557
gt,joy,0.363976
retweet,joy,0.80454
@theresa_may,anger,0.488325
lemsip,anger,0.488325
political friends,anger,0.5085
hell,anger,0.5085
uk politics,anger,0.5085
brexit,sadness,0.250817
tommy robinson,sadness,0.250817
trump,sadness,0.250817
farage,sadness,0.250817
important column,joy,0.828616
katie hopkins,sadness,0.250817
brexit,sadness,0.565538
brexiteers,anger,0.447129
points,sadness,0.471437
people,sadness,0.441086
chaos,anger,0.447129
franceâ€™s eu minister,joy,0.384747
doo,joy,0.384747
cat 'brexit,joy,0.384747
obvious point,sadness,0.683479
causes of brexit,sadness,0.683479
best possible sh,joy,0.444778
trending,joy,0.347085
prime minister jacinda,sadness,0.415968
donald trump,sadness,0.415968
@snb19692,sadness,0.442425
admission,sadness,0.442425
article,sadness,0.442425
mistake,sadness,0.523387
considerable upside,joy,0.200387
downside,joy,0.200387
brexit,joy,0.200387
clapton,,0
bad idea,sadness,0.453098
hypocritical stupid woman,sadness,0.453098
brexit stop,anger,0.380404
day,anger,0.934978
brexit enablers,anger,0.934978
such today,joy,0.719982
confidence,joy,0.719982
corbyn,sadness,0.805149
government,joy,0.719982
politics,sadness,0.805149
democ,sadness,0.805149
brexitdeal brexitshambles brexitchaos brexitagreement,,0
brexit,,0
determination,disgust,0.559731
tory brexit,disgust,0.559731
deal,disgust,0.559731
ultimate adversary,sadness,0.625872
theresa,sadness,0.625872
brexit,sadness,0.625872
reality,sadness,0.625872
rafael behr,sadness,0.625872
brexit,,0
brits,,0
animals,disgust,0.496537
politics,disgust,0.496537
@esthermcvey1,disgust,0.564444
rubbish,disgust,0.564444
brexit,,0
mp,disgust,0.251315
prison,disgust,0.288111
tag,disgust,0.288111
brexit,disgust,0.288111
fionaonasanya,disgust,0.288111
voting,disgust,0.288111
sunderland,,0
london,,0
westminster,,0
brexit,,0
walk,joy,0.30595
extensive article,sadness,0.44729
problem,sadness,0.44729
brexit,sadness,0.44729
dinner,joy,0.338046
sir,,0
packing,joy,0.338046
thursday,joy,0.338046
eu27,sadness,0.542277
brexit extension,sadness,0.542277
uk parliament vote,sadness,0.542277
week,sadness,0.542277
deal,sadness,0.542277
wh,sadness,0.527181
marchtoleave,sadness,0.595465
images,sadness,0.595465
sum,sadness,0.595465
brexit,sadness,0.595465
brilliant billboard campaigns,joy,0.685603
brexit party marc,joy,0.685603
report,,0
good example of media bias,joy,0.67699
vote,sadness,0.315046
parliament,sadness,0.315046
mps,sadness,0.315046
conservatives,sadness,0.392672
people,sadness,0.392672
work,sadness,0.392672
time,sadness,0.520013
ho,sadness,0.520013
mp vote,sadness,0.247527
particular issue,sadness,0.247527
thread,sadness,0.247527
people,sadness,0.247527
brexit,sadness,0.247527
constitue,,0
@susannareid100,sadness,0.214797
mo,sadness,0.214797
night of the brexit referendum,fear,0.470791
british pound,fear,0.470791
free fall,fear,0.470791
horror,fear,0.776577
handful of hedg,fear,0.776577
prime ministerâ€™s official spokesman,joy,0.249661
pm,joy,0.249661
article,joy,0.249661
counte,joy,0.249661
farmersâ€™ union calls,sadness,0.652061
case,sadness,0.520697
article,sadness,0.652061
agriland,sadness,0.652061
brexit rhapsody,fear,0.291418
official trailer,fear,0.291418
full video,joy,0.395721
only way,joy,0.490246
brexit,joy,0.490246
amp,joy,0.490246
democracy,joy,0.490246
deal,joy,0.490246
